latitude,longitude,soil_type,w100,r100,w200,r200,w300,r300,w400,r400,w500,r500,w600,r600,w700,r700,w800,r800,w900,r900,w1000,r1000,w1100,r1100,w1200,r1200,w1300,r1300,w1400,r1400,w1500,r1500,water_depth
19.45662,78.84502,Alluvial Soil,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1000.0
16.96995,77.46143,Black Cotton Soil,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,800.0
19.33252,78.61278,Red Sandy Soil,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400.0
18.08439,79.02227,Red Loamy Soil,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,800.0
18.29079,78.68789,Red Loamy Soil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,
18.32228,77.57468,Black Cotton Soil,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,500.0
17.8263,78.97723,Laterite Soil,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,
18.31705,80.70921,Red Sandy Soil,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,300.0
18.17866,78.40225,Red Sandy Soil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1000.0
19.11992,79.75007,Red Loamy Soil,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,100.0
19.54368,78.73869,Alluvial Soil,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1000.0
19.0812,78.01504,Red Loamy Soil,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,200.0
17.41766,79.77144,Red Loamy Soil,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1000.0
17.77535,80.54624,Red Loamy Soil,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,400.0
18.88859,78.29024,Red Loamy Soil,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,200.0
18.07769,77.64757,Mixed Red & Black Soil,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,900.0
19.37859,79.44628,Mixed Red & Black Soil,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,600.0
17.94457,79.08342,Red Sandy Soil,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1000.0
17.30866,78.07425,Red Loamy Soil,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,
18.72722,79.79898,Red Sandy Soil,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,900.0
17.59353,79.79952,Black Cotton Soil,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16.26662,78.42382,Red Sandy Soil,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
17.5669,79.05681,Laterite Soil,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1000.0
17.03302,79.73272,Red Loamy Soil,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1000.0
18.96216,78.04479,Red Loamy Soil,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,200.0
